camera,frame_index,snapshot_id,score_frac_gt40,cam_median,threshold,is_object,filename
underA3,34,raw_1783481559073_128,0.0534,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,35,raw_1783481588485_132,0.05839,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,36,raw_1783481613268_137,0.06192,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,37,raw_1783481645023_142,0.06082,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,38,raw_1783481673293_147,0.06294,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,39,raw_1783481702895_152,0.0617,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,40,raw_1783481733321_157,0.06157,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,41,raw_1783481933195_165,0.05876,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,42,raw_1783481967321_170,0.06465,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,43,raw_1783482001405_174,0.06565,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,44,raw_1783482030217_178,0.07809,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,45,raw_1783482108424_186,0.06577,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,46,raw_1783482176407_192,0.06585,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,47,raw_1783482208380_197,0.06534,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,48,raw_1783482241881_202,0.08778,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,49,raw_1783482270614_207,0.09231,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA3,50,raw_1783482318751_222,0.07405,0.07848,0.10045,0,16_stitch__under-xlj-all__underA3.jpg
underA4,1,raw_1783480173576_15,0.11663,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,2,raw_1783480305078_18,0.12694,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,3,raw_1783480368695_21,0.09316,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,4,raw_1783480430847_24,0.08273,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,5,raw_1783480529399_26,0.0807,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,6,raw_1783480577806_28,0.1322,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,7,raw_1783480629800_30,0.12836,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,8,raw_1783480673086_32,0.19302,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,9,raw_1783480714059_34,0.1961,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,10,raw_1783480754536_36,0.16488,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,11,raw_1783480790320_38,0.22928,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,12,raw_1783480829340_40,0.25859,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,13,raw_1783480861735_42,0.30791,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,14,raw_1783480899622_44,0.25709,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,15,raw_1783480949356_46,0.21587,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,16,raw_1783480984407_49,0.20227,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,17,raw_1783481016591_53,0.19163,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,18,raw_1783481051643_56,0.13501,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,19,raw_1783481082142_61,0.11145,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,20,raw_1783481118478_65,0.19553,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,21,raw_1783481148210_70,0.14902,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,22,raw_1783481175178_74,0.13755,0.09108,0.11658,1,15_stitch__under-xlj-all__underA4.jpg
underA4,23,raw_1783481213966_79,0.09581,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,24,raw_1783481245428_84,0.10514,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,25,raw_1783481275385_89,0.08406,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,26,raw_1783481309470_93,0.08716,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,27,raw_1783481340033_98,0.10203,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,28,raw_1783481364097_102,0.08796,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,29,raw_1783481395255_106,0.06599,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,30,raw_1783481423599_110,0.06049,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,31,raw_1783481461782_114,0.07526,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,32,raw_1783481494815_118,0.08034,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,33,raw_1783481526381_123,0.07265,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,34,raw_1783481559073_128,0.06619,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,35,raw_1783481588485_132,0.07082,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,36,raw_1783481613268_137,0.07266,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,37,raw_1783481645023_142,0.07352,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,38,raw_1783481673293_147,0.07097,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,39,raw_1783481702895_152,0.06678,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,40,raw_1783481733321_157,0.07023,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,41,raw_1783481933195_165,0.06957,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,42,raw_1783481967321_170,0.08056,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,43,raw_1783482001405_174,0.07469,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,44,raw_1783482030217_178,0.08899,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,45,raw_1783482108424_186,0.07595,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,46,raw_1783482176407_192,0.07702,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,47,raw_1783482208380_197,0.07759,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,48,raw_1783482241881_202,0.09877,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,49,raw_1783482270614_207,0.10239,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA4,50,raw_1783482318751_222,0.08832,0.09108,0.11658,0,15_stitch__under-xlj-all__underA4.jpg
underA5,1,raw_1783480173576_15,0.10497,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,2,raw_1783480305078_18,0.09993,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,3,raw_1783480368695_21,0.08359,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,4,raw_1783480430847_24,0.07204,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,5,raw_1783480529399_26,0.07674,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,6,raw_1783480577806_28,0.10401,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,7,raw_1783480629800_30,0.089,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,8,raw_1783480673086_32,0.11677,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,9,raw_1783480714059_34,0.12848,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,10,raw_1783480754536_36,0.12599,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,11,raw_1783480790320_38,0.17547,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,12,raw_1783480829340_40,0.24678,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,13,raw_1783480861735_42,0.266,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,14,raw_1783480899622_44,0.25528,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,15,raw_1783480949356_46,0.22211,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,16,raw_1783480984407_49,0.22753,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,17,raw_1783481016591_53,0.21289,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,18,raw_1783481051643_56,0.22895,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,19,raw_1783481082142_61,0.21581,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,20,raw_1783481118478_65,0.23459,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,21,raw_1783481148210_70,0.18261,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,22,raw_1783481175178_74,0.14901,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,23,raw_1783481213966_79,0.14278,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,24,raw_1783481245428_84,0.14787,0.09826,0.12578,1,14_stitch__under-xlj-all__underA5.jpg
underA5,25,raw_1783481275385_89,0.0966,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,26,raw_1783481309470_93,0.11994,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,27,raw_1783481340033_98,0.11942,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,28,raw_1783481364097_102,0.10241,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,29,raw_1783481395255_106,0.073,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,30,raw_1783481423599_110,0.06592,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,31,raw_1783481461782_114,0.09093,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,32,raw_1783481494815_118,0.09461,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,33,raw_1783481526381_123,0.07869,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,34,raw_1783481559073_128,0.07125,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,35,raw_1783481588485_132,0.07659,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,36,raw_1783481613268_137,0.07444,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,37,raw_1783481645023_142,0.07869,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,38,raw_1783481673293_147,0.06871,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,39,raw_1783481702895_152,0.06801,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,40,raw_1783481733321_157,0.07093,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,41,raw_1783481933195_165,0.06956,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,42,raw_1783481967321_170,0.08312,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,43,raw_1783482001405_174,0.08479,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,44,raw_1783482030217_178,0.09079,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,45,raw_1783482108424_186,0.07693,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,46,raw_1783482176407_192,0.07623,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
underA5,47,raw_1783482208380_197,0.07789,0.09826,0.12578,0,14_stitch__under-xlj-all__underA5.jpg
